ID,Category,Level,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Tags
Q1529,🎭 الفاظ کا جادو,M,"""قریب"" کا مترادف کیا ہے؟",ضعف,رسوائی,فلک,نزدیک,D,"""قریب"" کا مترادف ""نزدیک"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1530,⏳ 5 سیکنڈ چیلنج,M,اکبر اعظم کے دربار میں نو رتن کتنے تھے؟,7,10,9,12,C,درست جواب ہے: 9۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1531,👑 صرف ذہین لوگوں کے لیے,M,پاکستان کا پہلا وزیر خارجہ کون تھا؟,لیاقت علی خان,سر ظفر اللہ خان,حسین شہید سہروردی,چوہدری محمد علی,B,درست جواب ہے: سر ظفر اللہ خان۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1532,👑 صرف ذہین لوگوں کے لیے,M,عالمی یوم ماحولیات کب منایا جاتا ہے؟,5 جون,10 دسمبر,1 مئی,22 اپریل,A,درست جواب ہے: 5 جون۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1533,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,ان میں سے کون سا عدد باقیوں سے مختلف ہے: 21، 42، 14، 28؟,28,21,14,42,B,باقی تمام اعداد جفت (even) ہیں مگر 21 طاق (odd) ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1534,👑 صرف ذہین لوگوں کے لیے,M,پاکستان کا قومی پرچم کس نے ڈیزائن کیا,امیرالدین قدوائی,عبدالرب نشتر,لیاقت علی خان,علامہ اقبال,A,پاکستان کے قومی پرچم کا ڈیزائن امیرالدین قدوائی نے تیار کیا۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1535,🤯 دماغ کا امتحان,M,چڑیا روزانہ 3 فٹ چڑھتی اور 2 فٹ پھسلتی ہے۔ 20 فٹ گڑھے سے کب نکلے گی؟,17 دن,20 دن,19 دن,18 دن,A,درست جواب ہے: 17 دن۔,"دماغ کا امتحان, درمیانہ"
Q1536,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جس کا سر اور دم ہوتی ہے مگر جسم نہیں ہوتا؟,سکہ,مچھلی,پرندہ,سانپ,A,سکے کے دو رخ ہوتے ہیں جنہیں سر اور دم کہا جاتا ہے۔,"دلچسپ پہیلیاں, درمیانہ"
Q1537,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,باپ اور بیٹے کی عمروں کا مجموعہ 54 سال ہے۔ باپ بیٹے سے 5 گنا بڑا ہے۔ بیٹے کی عمر کیا ہے؟,11,14,9,7,C,بیٹا + باپ = 54، باپ = 5×بیٹا، لہٰذا بیٹا = 54/6 = 9 سال۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1538,🎭 الفاظ کا جادو,M,"""قریب"" کا متضاد کیا ہے؟",جنگ,بعید,میلا,اندھیرا,B,"""قریب"" کا متضاد ""بعید"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1539,🎭 الفاظ کا جادو,M,"وسیع"""" کا مترادف کیا ہے؟",تنگ,باریک,کشادہ,کمزور,C,وسیع کا مترادف کشادہ ہے۔,"الفاظ کا جادو, درمیانہ"
Q1540,🧩 دلچسپ پہیلیاں,M,وہ کیا ہے جو رات کو بڑھتا اور دن میں گھٹتا نظر آتا ہے؟,پانی,درخت,سایہ کی لمبائی/چاند,برف,C,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: سایہ کی لمبائی/چاند۔,"دلچسپ پہیلیاں, درمیانہ"
Q1541,🎭 الفاظ کا جادو,M,"""گناہ"" کا مترادف کیا ہے؟",استقامت,معصیت,اعتماد,جرات,B,"""گناہ"" کا مترادف ""معصیت"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1542,🤯 دماغ کا امتحان,M,اگر ایک آدمی 5 دن میں ایک دیوار بناتا ہے تو 5 آدمی مل کر وہی دیوار کتنے دن میں بنائیں گے,25,5,10,1,D,5 آدمی مل کر کام 5 گنا تیز کریں گے۔,"دماغ کا امتحان, درمیانہ"
Q1543,🎭 الفاظ کا جادو,M,کامیابی کا متضاد کیا ہے,ناکامی,محنت,جیت,ترقی,A,کامیابی کا متضاد ناکامی ہے۔,"الفاظ کا جادو, درمیانہ"
Q1544,🎭 الفاظ کا جادو,M,"""ذلت"" کا مترادف کیا ہے؟",جبر,رسوائی,اسیری,حوصلہ,B,"""ذلت"" کا مترادف ""رسوائی"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1545,🎭 الفاظ کا جادو,M,"""مہنگا"" کا متضاد کیا ہے؟",اندھیرا,تنگ,سستا,کمزور,C,"""مہنگا"" کا متضاد ""سستا"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1546,⏳ 5 سیکنڈ چیلنج,M,دنیا کا سب سے بڑا فعال آتش فشاں کون سا ہے؟,ویسوویئس,ایٹنا,ماؤنٹ فیوجی,ماؤنا لوا,D,ماؤنا لوا (ہوائی) دنیا کے سب سے بڑے فعال آتش فشاں میں شمار ہوتا ہے۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1547,😈 ٹرک سوالات,M,ایک آدمی نے 10 آم توڑے 3 کھا لیے 2 بچوں کو دے دیے۔ کتنے آم بچے,10,7,5,8,C,10-3-2=5 آم بچے۔,"ٹرک سوالات, درمیانہ"
Q1548,👑 صرف ذہین لوگوں کے لیے,M,انسان نے چاند پر پہلا قدم کب رکھا؟,1965,1969,1975,1959,B,درست جواب ہے: 1969۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1549,🧩 دلچسپ پہیلیاں,M,وہ کیا ہے جو خالی ہونے پر بھاری اور بھرنے پر ہلکا لگتا ہے؟,تھیلا,بوتل,بالٹی,غبارہ,D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: غبارہ۔,"دلچسپ پہیلیاں, درمیانہ"
Q1550,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,دو مقداروں کا تناسب 4:2 ہے۔ اگر کل مقدار 78 ہے تو پہلی مقدار کتنی ہوگی؟,26,52,50,54,B,کل حصے = 4+2 = 6۔ پہلی مقدار = (4/6)×78 = 52۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1551,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,دو مقداروں کا تناسب 4:3 ہے۔ اگر کل مقدار 70 ہے تو پہلی مقدار کتنی ہوگی؟,40,30,42,38,A,کل حصے = 4+3 = 7۔ پہلی مقدار = (4/7)×70 = 40۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1552,⏳ 5 سیکنڈ چیلنج,M,دنیا کا سب سے لمبا پہاڑی سلسلہ کون سا ہے؟,اینڈیز,ہمالیہ,راکی,الپس,A,اینڈیز دنیا کا سب سے طویل پہاڑی سلسلہ ہے۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1553,🎭 الفاظ کا جادو,M,"""بیٹی"" کا مترادف کیا ہے؟",بیابان,دخترجن,ضیف,اسپ,B,"""بیٹی"" کا مترادف ""دخترجن"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1554,👑 صرف ذہین لوگوں کے لیے,M,پہلا پاکستانی نوبل انعام یافتہ کون تھا,عبدالسلام,فیض احمد فیض,علامہ اقبال,ملالہ یوسفزئی,A,ڈاکٹر عبدالسلام نے 1979 میں طبیعیات کا نوبل انعام حاصل کیا۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1555,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,اگر 8 کتابیں 4 بچوں میں برابر تقسیم کی جائیں تو ہر بچے کو کتنی کتابیں ملیں گی,1,3,4,2,D,8÷4=2 کتابیں۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1556,🤯 دماغ کا امتحان,M,اگر ایک کار 80 کلومیٹر فی گھنٹہ کی رفتار سے 3 گھنٹے چلے تو کتنی دور جائے گی؟,220 کلومیٹر,240 کلومیٹر,200 کلومیٹر,260 کلومیٹر,B,80 × 3 = 240 کلومیٹر۔,"دماغ کا امتحان, درمیانہ"
Q1557,🧩 دلچسپ پہیلیاں,M,وہ کیا ہے جو ہمیشہ ایک جیسا نظر آئے مگر کبھی ایک جیسا نہ ہو؟,پہاڑ,درخت,پتھر,لہر/بادل,D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: لہر/بادل۔,"دلچسپ پہیلیاں, درمیانہ"
Q1558,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جسے توڑا نہیں جا سکتا مگر گرانے سے ٹوٹ جاتی ہے,عزت,پانی,سب,شیشہ,A,عزت کو گرایا جا سکتا ہے، اسی لیے کہا جاتا ہے کہ عزت ٹوٹ گئی۔,"دلچسپ پہیلیاں, درمیانہ"
Q1559,🤯 دماغ کا امتحان,M,ایک گھر میں 10 موم بتیاں جل رہی ہیں۔ 5 بجھ جائیں تو باقی کتنی دیر تک جلیں گی؟,ہمیشہ,5 منٹ,1 گھنٹہ,جب تک موم ختم نہ ہو,D,درست جواب ہے: جب تک موم ختم نہ ہو۔,"دماغ کا امتحان, درمیانہ"
Q1560,🤯 دماغ کا امتحان,M,ایک چیز کی قیمت 400 روپے ہے۔ اس پر 15% رعایت ملے تو ادا کی جانے والی رقم کتنی ہوگی؟,400,350,330,340,D,15% رعایت = 60 روپے، لہٰذا ادا کی جانے والی رقم = 400 - 60 = 340 روپے۔,"دماغ کا امتحان, درمیانہ"
Q1561,📖 اردو محاورے,M,"""بغلیں جھانکنا"" کا مطلب کیا ہے؟",خوش ہونا,بازو دکھانا,شرمندہ ہو کر خاموش رہ جانا,تلاش کرنا,C,"""بغلیں جھانکنا"" کا محاورتی مطلب ہے: شرمندہ ہو کر خاموش رہ جانا۔","اردو محاورے, درمیانہ"
Q1562,👑 صرف ذہین لوگوں کے لیے,M,پاکستان کا دفاعی دن کب منایا جاتا ہے؟,23 مارچ,11 ستمبر,6 ستمبر,14 اگست,C,درست جواب ہے: 6 ستمبر۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1563,🎭 الفاظ کا جادو,M,خاموش کا مترادف کیا ہے؟,شوریدہ,غصیلا,پُرسکون,تیز,C,پُرسکون یا خاموش ہم معنی الفاظ ہیں۔,"الفاظ کا جادو, درمیانہ"
Q1564,📖 اردو محاورے,M,"""گھی کے چراغ جلانا"" کا مطلب کیا ہے؟",کھانا پکانا,ماتم کرنا,بہت خوشی منانا,روشنی کرنا,C,"""گھی کے چراغ جلانا"" کا محاورتی مطلب ہے: بہت خوشی منانا۔","اردو محاورے, درمیانہ"
Q1565,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,اگر ایک گھڑی میں وقت 2:20 ہو تو گھنٹے اور منٹ کی سوئی کے درمیان زاویہ تقریباً کتنا ہوگا؟,40°,60°,50°,70°,C,2:20 پر دونوں سوئیوں کے درمیان زاویہ تقریباً 50 ڈگری بنتا ہے۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1566,📖 اردو محاورے,M,"""کمر توڑ محنت"" کا مطلب کیا ہے؟",آرام کرنا,آسان کام,انتہائی سخت محنت,ورزش کرنا,C,درست جواب ہے: انتہائی سخت محنت۔,"اردو محاورے, درمیانہ"
Q1567,🎭 الفاظ کا جادو,M,"""خالق"" کا مترادف کیا ہے؟",نااُمیدی,سچائی,ارض,پیدا کرنے والا,D,"""خالق"" کا مترادف ""پیدا کرنے والا"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1568,📖 اردو محاورے,M,"""چاند پر داغ ہونا"" کا مطلب کیا ہے؟",کسی کامل چیز میں معمولی سی خامی ہونا,تاریک رات ہونا,چاند گہنا لگنا,مکمل بے عیب ہونا,A,"""چاند پر داغ ہونا"" کا محاورتی مطلب ہے: کسی کامل چیز میں معمولی سی خامی ہونا۔","اردو محاورے, درمیانہ"
Q1569,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جو خود کچھ نہیں کرتی مگر سب کچھ کرواتی ہے؟,ہاتھ,زبان,پاؤں,حکم/ارادہ,D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: حکم/ارادہ۔,"دلچسپ پہیلیاں, درمیانہ"
Q1570,⏳ 5 سیکنڈ چیلنج,M,بابا فرید گنج شکر کس شہر سے تعلق رکھتے تھے؟,پاکپتن,لاہور,ملتان,بہاولپور,A,درست جواب ہے: پاکپتن۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1571,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,باپ اور بیٹے کی عمروں کا مجموعہ 55 سال ہے۔ باپ بیٹے سے 4 گنا بڑا ہے۔ بیٹے کی عمر کیا ہے؟,16,11,9,13,B,بیٹا + باپ = 55، باپ = 4×بیٹا، لہٰذا بیٹا = 55/5 = 11 سال۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1572,😈 ٹرک سوالات,M,3 گولیاں ہیں۔ ہر آدھے گھنٹے بعد ایک کھانی ہے۔ سب ختم ہونے میں کتنا وقت لگے گا؟,ایک گھنٹہ,دو گھنٹے,ڈیڑھ گھنٹہ,تین گھنٹے,A,درست جواب ہے: ایک گھنٹہ۔,"ٹرک سوالات, درمیانہ"
Q1573,⏳ 5 سیکنڈ چیلنج,M,قوسِ قزح میں سب سے اوپر کون سا رنگ ہوتا ہے؟,سبز,نیلا,سرخ,بنفشی,C,قوسِ قزح میں سب سے اوپر سرخ رنگ ہوتا ہے۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1574,🤯 دماغ کا امتحان,M,دو مقداروں کا تناسب 2:4 ہے۔ اگر کل مقدار 90 ہے تو پہلی مقدار کتنی ہوگی؟,32,28,60,30,D,کل حصے = 2+4 = 6۔ پہلی مقدار = (2/6)×90 = 30۔,"دماغ کا امتحان, درمیانہ"
Q1575,📖 اردو محاورے,M,"""مہر"" کا نکاح سے متعلق مطلب کیا ہے؟",طلاق,بیوی کا حق,گواہ,خطبہ,B,نکاح میں شوہر کی طرف سے دیا جانے والا حق مہر۔,"اردو محاورے, درمیانہ"
Q1576,😈 ٹرک سوالات,M,ایک آدمی کے دونوں ہاتھوں میں 5،5 آم ہیں۔ اس کے پاس کل کتنے آم ہیں,5,8,15,10,D,ہر ہاتھ میں 5 آم ہیں، اس لیے کل 10 آم ہیں۔,"ٹرک سوالات, درمیانہ"
Q1577,🎭 الفاظ کا جادو,M,"""آغاز"" کا متضاد کیا ہے؟",خارج,شک,انجام,ناجائز,C,"""آغاز"" کا متضاد ""انجام"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1578,⏳ 5 سیکنڈ چیلنج,M,پاکستان کا دارالحکومت اسلام آباد کب بنایا گیا,1977,1967,1956,1947,B,اسلام آباد کو 1967 میں پاکستان کا دارالحکومت بنایا گیا۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1579,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جو جتنی زیادہ سوکھتی ہے اتنی ہی گیلی کرتی ہے؟,بارش,تولیہ,بادل,صابن,B,تولیہ خود سوکھتا ہے مگر جسم کو خشک (گیلا جذب) کرتا ہے۔,"دلچسپ پہیلیاں, درمیانہ"
Q1580,🎭 الفاظ کا جادو,M,لفظ مژہ کے معنی کیا ہیں؟,پلک,بھنویں,ناخن,بال,A,درست جواب ہے: پلک۔,"الفاظ کا جادو, درمیانہ"
Q1581,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,باپ اور بیٹے کی عمروں کا مجموعہ 50 سال ہے۔ باپ بیٹے سے 4 گنا بڑا ہے۔ بیٹے کی عمر کیا ہے؟,15,12,8,10,D,بیٹا + باپ = 50، باپ = 4×بیٹا، لہٰذا بیٹا = 50/5 = 10 سال۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1582,👑 صرف ذہین لوگوں کے لیے,M,پہلا عالمی کپ کرکٹ کب اور کہاں کھیلا گیا؟,1979 آسٹریلیا,1975 انگلینڈ,1992 آسٹریلیا,1983 بھارت,B,درست جواب ہے: 1975 انگلینڈ۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1583,⏳ 5 سیکنڈ چیلنج,M,کمپیوٹر میں URL کس چیز کو ظاہر کرتا ہے؟,فائل کا نام,ویب ایڈریس,پاس ورڈ,ای میل,B,درست جواب ہے: ویب ایڈریس۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1584,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جو ملنے پر یاد اور کھونے پر قدر بڑھاتی ہے؟,پیسہ,کپڑا,وقت/رشتہ,کھلونا,C,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: وقت/رشتہ۔,"دلچسپ پہیلیاں, درمیانہ"
Q1585,⏳ 5 سیکنڈ چیلنج,M,سکردو ہوائی اڈہ کس پہاڑی سلسلے میں واقع ہے,قراقرم,ہندوکش,ہمالیہ,سلیمان,A,سکردو قراقرم کے پہاڑی سلسلے میں واقع ہے۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1586,🧩 دلچسپ پہیلیاں,M,وہ کیا ہے جو ہمیشہ آپ کے ساتھ چلتی ہے مگر پکڑی نہیں جا سکتی؟,ہوا,دھوپ,سایہ,بارش,C,سایہ ہمیشہ ساتھ رہتا ہے مگر پکڑا نہیں جا سکتا۔,"دلچسپ پہیلیاں, درمیانہ"
Q1587,🤯 دماغ کا امتحان,M,دو مقداروں کا تناسب 2:3 ہے۔ اگر کل مقدار 15 ہے تو پہلی مقدار کتنی ہوگی؟,9,8,6,4,C,کل حصے = 2+3 = 5۔ پہلی مقدار = (2/5)×15 = 6۔,"دماغ کا امتحان, درمیانہ"
Q1588,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جو جتنی زیادہ بانٹیں اتنی ہی بڑھتی ہے؟,محبت,وقت,روٹی,پیسہ,A,محبت بانٹنے سے کم نہیں بلکہ بڑھتی ہے۔,"دلچسپ پہیلیاں, درمیانہ"
Q1589,🤯 دماغ کا امتحان,M,2000 روپے پر 12% سالانہ کے حساب سے 2 سال کا سود کتنا بنے گا؟,580,380,480,680,C,سود = (اصل رقم × شرح × مدت)/100 = (2000×12×2)/100 = 480 روپے۔,"دماغ کا امتحان, درمیانہ"
Q1590,🎭 الفاظ کا جادو,M,"""صلح"" کا مترادف کیا ہے؟",امن,کذب,وفات,آس,A,"""صلح"" کا مترادف ""امن"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1591,🎭 الفاظ کا جادو,M,"""ثواب"" کا مترادف کیا ہے؟",حمد,انابت,کریم,اجر,D,"""ثواب"" کا مترادف ""اجر"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1592,⏳ 5 سیکنڈ چیلنج,M,"پاکستان کا وہ شہر جو ""پاکستان کا مانچسٹر"" کہلاتا ہے؟",فیصل آباد,لاہور,سیالکوٹ,کراچی,A,درست جواب ہے: فیصل آباد ________________۔,"5 سیکنڈ چیلنج, درمیانہ"
Q1593,😈 ٹرک سوالات,M,ایک ٹوکری میں 14 پھل تھے، بچوں نے 8 کھا لیے، ٹوکری میں کتنے پھل بچے؟,5,6,7,8,B,14-8=6 پھل بچے۔,"ٹرک سوالات, درمیانہ"
Q1594,🤯 دماغ کا امتحان,M,باپ اور بیٹے کی عمروں کا مجموعہ 24 سال ہے۔ باپ بیٹے سے 3 گنا بڑا ہے۔ بیٹے کی عمر کیا ہے؟,8,11,4,6,D,بیٹا + باپ = 24، باپ = 3×بیٹا، لہٰذا بیٹا = 24/4 = 6 سال۔,"دماغ کا امتحان, درمیانہ"
Q1595,📖 اردو محاورے,M,ہاتھ پاؤں مارنا کا مطلب کیا ہے؟,ہنسنا,کوشش کرنا,سو جانا,چھپ جانا,B,کامیابی کے لیے مسلسل کوشش کرنا۔,"اردو محاورے, درمیانہ"
Q1596,📖 اردو محاورے,M,"""گیدڑ کی موت مرنا"" کا مفہوم کیا ہے؟",تنہائی میں مرنا,جنگل میں مرنا,ذلت اور بزدلی کے ساتھ مرنا,اچانک مرنا,C,درست جواب ہے: ذلت اور بزدلی کے ساتھ مرنا۔,"اردو محاورے, درمیانہ"
Q1597,📖 اردو محاورے,M,"""پیٹ میں چوہے دوڑنا"" کا مطلب کیا ہے؟",پیٹ میں درد ہونا,چوہے پالنا,خوف آنا,بہت زیادہ بھوک لگنا,D,"""پیٹ میں چوہے دوڑنا"" کا محاورتی مطلب ہے: بہت زیادہ بھوک لگنا۔","اردو محاورے, درمیانہ"
Q1598,🧩 دلچسپ پہیلیاں,M,وہ کون سی چیز ہے جو خود نہیں بولتی مگر بہت کچھ بتا دیتی ہے؟,کتاب,تصویر,آئینہ,پتھر,A,کتاب میں بہت سی معلومات موجود ہوتی ہیں۔,"دلچسپ پہیلیاں, درمیانہ"
Q1599,🎭 الفاظ کا جادو,M,لفظ برہم کا مطلب کیا ہے؟,خوش,حیران,غصے میں,پریشان,C,درست جواب ہے: غصے میں۔,"الفاظ کا جادو, درمیانہ"
Q1600,🎭 الفاظ کا جادو,M,"""خواب"" کا مترادف کیا ہے؟",احترام,آتش,ارض,سپنا,D,"""خواب"" کا مترادف ""سپنا"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1601,😈 ٹرک سوالات,M,ایک ٹوکری میں 27 پھل تھے، بچوں نے 25 کھا لیے، ٹوکری میں کتنے پھل بچے؟,3,1,2,25,C,27-25=2 پھل بچے۔,"ٹرک سوالات, درمیانہ"
Q1602,🧩 دلچسپ پہیلیاں,M,وہ کیا ہے جو جتنا زیادہ جلتا ہے اتنا ہی چھوٹا ہوتا جاتا ہے,پتھر,پانی,موم بتی,شیشہ,C,موم بتی جلنے سے آہستہ آہستہ ختم ہوتی جاتی ہے۔,"دلچسپ پہیلیاں, درمیانہ"
Q1603,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,گھڑی 3 بجے 3 بار اور 4 بجے 4 بار بجتی ہے، تو 6 بجے کتنی بار بجے گی؟,"""6 بار""",9 بار,3 بار,12 بار,A,"درست جواب ہے: ""6 بار""۔","99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1604,📖 اردو محاورے,M,"""عقل دنگ رہ جانا"" کا مطلب کیا ہے؟",نیند آنا,سمجھ آ جانا,خوش ہونا,بہت زیادہ حیران ہو جانا,D,"""عقل دنگ رہ جانا"" کا محاورتی مطلب ہے: بہت زیادہ حیران ہو جانا۔","اردو محاورے, درمیانہ"
Q1605,🤯 دماغ کا امتحان,M,ایک گھر میں 10 موم بتیاں جل رہی تھیں۔ 5 بجھ گئیں۔ کتنی موم بتیاں جلتی رہیں؟,2,10,5,کوئی نہیں,C,پانچ بجھ گئیں، باقی پانچ جلتی رہیں۔,"دماغ کا امتحان, درمیانہ"
Q1606,🎭 الفاظ کا جادو,M,"""راز"" کا مترادف کیا ہے؟",معلم,فوج,بھید,بحر,C,"""راز"" کا مترادف ""بھید"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1607,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,3000 روپے پر 15% سالانہ کے حساب سے 1 سال کا سود کتنا بنے گا؟,650,550,450,350,C,سود = (اصل رقم × شرح × مدت)/100 = (3000×15×1)/100 = 450 روپے۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1608,🤯 دماغ کا امتحان,M,اگر 5 مزدور ایک کام 8 دنوں میں مکمل کرتے ہیں تو 8 مزدور وہی کام کتنے دنوں میں مکمل کریں گے؟,5,7,6,4,A,کل کام = 5×8 = 40 مزدور-دن۔ 8 مزدوروں کے لیے وقت = 40/8 = 5 دن۔,"دماغ کا امتحان, درمیانہ"
Q1609,🧩 دلچسپ پہیلیاں,M,وہ کیا ہے جو ایک ہی وقت میں دو مختلف جگہ محسوس ہوتا ہے؟,ہوا,بارش,روشنی,بازگشت (echo),D,یہ ایک لطیف پہیلی ہے جس کا جواب ہے: بازگشت (echo)۔,"دلچسپ پہیلیاں, درمیانہ"
Q1610,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,دو مقداروں کا تناسب 5:2 ہے۔ اگر کل مقدار 42 ہے تو پہلی مقدار کتنی ہوگی؟,28,32,30,12,C,کل حصے = 5+2 = 7۔ پہلی مقدار = (5/7)×42 = 30۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1611,📖 اردو محاورے,M,"""پانی پانی کرنا"" محاورے کا مطلب؟",نہلا دینا,خوش کرنا,پیاس بجھانا,سخت شرمندہ یا رسوا کر دینا,D,درست جواب ہے: سخت شرمندہ یا رسوا کر دینا۔,"اردو محاورے, درمیانہ"
Q1612,👑 صرف ذہین لوگوں کے لیے,M,پاکستان کا سب سے گرم شہر کون سا ہے,ملتان,لاڑکانہ,جیکب آباد,سکھر,C,جیکب آباد شدید گرمی کے لیے مشہور ہے۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1613,🧠 99٪ لوگ غلط جواب دیتے ہیں,M,اگر 8 بستوں کی قیمت 1600 روپے ہے تو ایک بستے کی قیمت کتنی ہوگی؟,150 روپے,180 روپے,200 روپے,250 روپے,C,1600 ÷ 8 = 200 روپے۔,"99٪ لوگ غلط جواب دیتے ہیں, درمیانہ"
Q1614,🎭 الفاظ کا جادو,M,"""اوپر"" کا متضاد کیا ہے؟",نیچے,شام,مردہ,جنگ,A,"""اوپر"" کا متضاد ""نیچے"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1615,😈 ٹرک سوالات,M,ایک ٹوکری میں 10 پھل تھے، بچوں نے 8 کھا لیے، ٹوکری میں کتنے پھل بچے؟,2,3,1,8,A,10-8=2 پھل بچے۔,"ٹرک سوالات, درمیانہ"
Q1616,😈 ٹرک سوالات,M,ایک ٹوکری میں 22 پھل تھے، بچوں نے 10 کھا لیے، ٹوکری میں کتنے پھل بچے؟,10,13,12,11,C,22-10=12 پھل بچے۔,"ٹرک سوالات, درمیانہ"
Q1617,👑 صرف ذہین لوگوں کے لیے,M,پاکستان کی پہلی خاتون گورنر کون تھیں,حنا ربانی,رعنا لیاقت علی,فاطمہ جناح,بینظیر بھٹو,B,رعنا لیاقت علی خان پاکستان کی پہلی خاتون گورنر تھیں۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1618,🤯 دماغ کا امتحان,M,دو مقداروں کا تناسب 4:6 ہے۔ اگر کل مقدار 70 ہے تو پہلی مقدار کتنی ہوگی؟,30,26,42,28,D,کل حصے = 4+6 = 10۔ پہلی مقدار = (4/10)×70 = 28۔,"دماغ کا امتحان, درمیانہ"
Q1619,👑 صرف ذہین لوگوں کے لیے,M,پاکستان نے کرکٹ ورلڈ کپ پہلی بار کب جیتا؟,1999,1992,1996,1983,B,درست جواب ہے: 1992۔,"صرف ذہین لوگوں کے لیے, درمیانہ"
Q1620,🎭 الفاظ کا جادو,M,"""بیٹا"" کا مترادف کیا ہے؟",شمشیر,والدہ,ثروت,فرزند,D,"""بیٹا"" کا مترادف ""فرزند"" ہے۔","الفاظ کا جادو, درمیانہ"
Q1621,📖 اردو محاورے,M,دال میں کچھ کالا ہے کا مطلب کیا ہے؟,کھانا ٹھنڈا ہے,کوئی خفیہ بات ہے,دال خراب ہے,نمک کم ہے,B,درست جواب ہے: کوئی خفیہ بات ہے۔,"اردو محاورے, درمیانہ"
Q1622,😈 ٹرک سوالات,M,ایک ٹوکری میں 29 پھل تھے، بچوں نے 20 کھا لیے، ٹوکری میں کتنے پھل بچے؟,10,9,8,20,B,29-20=9 پھل بچے۔,"ٹرک سوالات, درمیانہ"
Q1623,📖 اردو محاورے,M,"""آ بیل مجھے مار"" کا مطلب کیا ہے؟",کھیتی کرنا,مصیبت کو خود دعوت دینا,جانوروں سے محبت,بیل سے ڈرنا,B,خود اپنے عمل سے مشکل پیدا کرنا۔,"اردو محاورے, درمیانہ"
